N;id_acc;nombre_acc;precio_acc;stock_acc;descripcion_acc;id_pl;nombre_pl;precio_pl;descripcion_pl;id_eq;;nombre_eq;precio_eq;stock_eq;descripcion_eq;grarantia;link_eq;id_of;nombre_of;descuento_of;descripcion_of;nombre_pr;precio_pr;stock_pr;descripcion_pr
1;null;null;null;null;null;1;Max ilimitado A;95,9;195GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);1;Samsung Galaxy A04 64GB Negro;Samsung Galaxy A04 64GB Negro;657;7;CELULAR: Memoria64GB, pantalla HD+ 6.5'', batería de 5000mAh, cámara principal de 50 MP. ACCESORIO: Auriculares blancos de entrada de 3.5mm;12;/resources/images/1.png;1;50% Cyber wow;0,5;Oferta de temporada -50%;Samsung Galaxy A04 64GB Negro + Max ilimitado A +  50% Cyber wow;376,5;7;CELULAR: Memoria64GB, pantalla HD+ 6.5'', batería de 5000mAh, cámara principal de 50 MP. ACCESORIO: Auriculares blancos de entrada de 3.5mm PLAN: 195GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta de temporada -50%
2;1;Auriculares Samsung Blancos 30s;20;100;Auriculares blancos de entrada de 3.5mm;2;Max play A;95;82.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Estándar GRATIS;2;Honor X8 128GB Plata;Honor X8 128GB Plata +  Auriculares Samsung Blancos 30s;1007;25;CELULAR: Memoria128GB, pantalla Full HD 6.7'', batería de 4000mAh, cámara cuádruple, RAM de 6GB. ACCESORIO: Auriculares blancos de entrada de 3.5mm;12;/resources/images/2.png;2;3% Descuento Promo;0,03;Oferta por producto -3%;Honor X8 128GB Plata +  Auriculares Samsung Blancos 30s + Max play A +  3% Descuento Promo;1068,9;25;CELULAR: Memoria128GB, pantalla Full HD 6.7'', batería de 4000mAh, cámara cuádruple, RAM de 6GB. ACCESORIO: Auriculares blancos de entrada de 3.5mm PLAN: 82.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica), redes ilimitadas, Netflix Estándar GRATIS OFERTA:  Oferta por producto -3%
3;2;EarPods con conector Lightning;89;80;EarPods con conector Lightning;3;Max ilimitado B;79,9;157.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);3;Xiaomi Redmi Note 11 128GB Azul Oscuro SE;Xiaomi Redmi Note 11 128GB Azul Oscuro SE +  EarPods con conector Lightning;1187;2;CELULAR: Memoria128GB, pantalla AMOLED FHD+ 6.43'', cámara cuádruple frontal 13MP principal 50MP, procesador Snapdragon 680, memoria RAM 4GB, almacenamiento interno 128GB, batería de 5000mAh. ACCESORIO: Auriculares blancos de entrada de 3.5mm;18;/resources/images/3.png;3;4% Descuento Promo;0,04;Oferta por producto -4%;Xiaomi Redmi Note 11 128GB Azul Oscuro SE +  EarPods con conector Lightning + Max ilimitado B +  4% Descuento Promo;1216,2;2;CELULAR: Memoria128GB, pantalla AMOLED FHD+ 6.43'', cámara cuádruple frontal 13MP principal 50MP, procesador Snapdragon 680, memoria RAM 4GB, almacenamiento interno 128GB, batería de 5000mAh. ACCESORIO: Auriculares blancos de entrada de 3.5mm PLAN: 157.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta por producto -4%
4;3;Audífono BT Drums;79;94;BlackSheep, Audífono BT Drums;4;Max ilimitado C;69,9;142.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);4;Huawei P50 Pro 256GB;Huawei P50 Pro 256GB +  Audífono BT Drums;4227;28;CELULAR: Procesador Qualcomm Snapdragon 888G 4G, batería de 4300mAh, memoria interna de 256GB, carga rápida a 66W, cámara cuádruple. ACCESORIO: Auriculares blancos de entrada de 3.5mm;18;/resources/images/4.png;4;5% Descuento Promo;0,05;Oferta por producto -5%;Huawei P50 Pro 256GB +  Audífono BT Drums + Max ilimitado C +  5% Descuento Promo;4082,1;28;CELULAR: Procesador Qualcomm Snapdragon 888G 4G, batería de 4300mAh, memoria interna de 256GB, carga rápida a 66W, cámara cuádruple. ACCESORIO: Auriculares blancos de entrada de 3.5mm PLAN: 142.5GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta por producto -5%
5;4;Jib True Wireless + Sidebag;109;44;SkullCandy Jib True Wireless + Sidebag;5;Max A;55,9;75GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);5;ZTE Blade A31 Plus 32GB Gris + AIRPODS I11 TWS;ZTE Blade A31 Plus 32GB Gris + AIRPODS I11 TWS +  Jib True Wireless + Sidebag;405;6;CELULAR: Pantalla IPS LCD de 5.99 pulgadas, cámara trasera 5 megapíxeles frontal 2 megapíxeles, memoria RAM 1GB, almacenamiento 32GB, procesador octa-core, batería es de 3000 mAh. ACCESORIO: EarPods con conector Lightning;12;/resources/images/5.png;5;15% Descuento Promo;0,15;Oferta por producto -15%;ZTE Blade A31 Plus 32GB Gris + AIRPODS I11 TWS +  Jib True Wireless + Sidebag + Max A +  15% Descuento Promo;391,8;6;CELULAR: Pantalla IPS LCD de 5.99 pulgadas, cámara trasera 5 megapíxeles frontal 2 megapíxeles, memoria RAM 1GB, almacenamiento 32GB, procesador octa-core, batería es de 3000 mAh. ACCESORIO: EarPods con conector Lightning PLAN: 75GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta por producto -15%
6;5;Audifonos INKD+ BT Verde;69;122;SkullCandy, bateria hasta 9 horas, bluetooth 5.1;6;Max B;49,5;45GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica);6;ZTE Blade A5 2020 32GB Negro;ZTE Blade A5 2020 32GB Negro +  Audifonos INKD+ BT Verde;445;37;CELULAR: Procesador 8 núcleos, velocidad procesamiento 1.6GHz, 2GB memoria RAM, 32GB almacenamiento interno, batería 3200mAh. ACCESORIO: EarPods con conector Lightning;12;/resources/images/6.png;6;45% Cyber wow;0,45;Oferta de temporada -45%;ZTE Blade A5 2020 32GB Negro +  Audifonos INKD+ BT Verde + Max B +  45% Cyber wow;272;37;CELULAR: Procesador 8 núcleos, velocidad procesamiento 1.6GHz, 2GB memoria RAM, 32GB almacenamiento interno, batería 3200mAh. ACCESORIO: EarPods con conector Lightning PLAN: 45GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica) OFERTA:  Oferta de temporada -45%
7;6;MOVEAUDIO S150;99;150;TCL, inalámbrico, altavoces de 13MM, bluetooth 5.1, USB tipo C, estuche de carga de 500 mAh;7;Max C;39,9;37.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica);7;ZTE Blade A51 32GB Gris;ZTE Blade A51 32GB Gris +  MOVEAUDIO S150;455;20;CELULAR: Pantalla HD+ 6.52'', cámara frontal5MP, principal13MP, procesador 8núcleos, memoria RAM2GB, batería 3200mAh, almacenamiento interno 32GB. ACCESORIO: EarPods con conector Lightning;12;/resources/images/7.png;7;20% Descuento Promo;0,2;Oferta por producto -20%;ZTE Blade A51 32GB Gris +  MOVEAUDIO S150 + Max C +  20% Descuento Promo;395,9;20;CELULAR: Pantalla HD+ 6.52'', cámara frontal5MP, principal13MP, procesador 8núcleos, memoria RAM2GB, batería 3200mAh, almacenamiento interno 32GB. ACCESORIO: EarPods con conector Lightning PLAN: 37.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica) OFERTA:  Oferta por producto -20%
8;7;Audífonos Bluetooth Hesh 3 Wireless Rojo;269;68;SkullCandy, hasta 22 horas de duración y opción de carga rápida de 10 minutos para 4 horas;8;Max D;29,9;12.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica);8;Coolpad CP 3504L 64GB Azul;Coolpad CP 3504L 64GB Azul +  Audífonos Bluetooth Hesh 3 Wireless Rojo;465;5;CELULAR: Procesador Octa-Core, memoria RAM 4GB, almacenamiento 64GB, pantalla 6.21'' HD, triple cámara posterior, batería 4000mAh. ACCESORIO: EarPods con conector Lightning;12;/resources/images/8.png;8;30% Cyber wow;0,3;Oferta de temporada -30%;Coolpad CP 3504L 64GB Azul +  Audífonos Bluetooth Hesh 3 Wireless Rojo + Max D +  30% Cyber wow;346,4;5;CELULAR: Procesador Octa-Core, memoria RAM 4GB, almacenamiento 64GB, pantalla 6.21'' HD, triple cámara posterior, batería 4000mAh. ACCESORIO: EarPods con conector Lightning PLAN: 12.5GB, DISFRUTA CON LIBERTAD (Redes Sociales, minutos y SMS), Cobertura internacional (14 países de de Latinoamérica) OFERTA:  Oferta de temporada -30%
9;null;null;null;null;null;9;Max ilimitado D;289,9;285GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA + Europa);9;Motorola Moto E20 32GB G Grafito;Motorola Moto E20 32GB G Grafito;501;38;CELULAR: Pantalla LCD de 6.5'', cámara dual 13MP, memoria RAM 2GB, almacenamiento interno 32GB, batería 4000mAh, carga rápida 10W. ACCESORIO: BlackSheep, Audífono BT Drums;12;/resources/images/9.png;9;40% Cyber wow;0,4;Oferta de temporada -40%;Motorola Moto E20 32GB G Grafito + Max ilimitado D +  40% Cyber wow;474,5;38;CELULAR: Pantalla LCD de 6.5'', cámara dual 13MP, memoria RAM 2GB, almacenamiento interno 32GB, batería 4000mAh, carga rápida 10W. ACCESORIO: BlackSheep, Audífono BT Drums PLAN: 285GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA + Europa) OFERTA:  Oferta de temporada -40%
10;8;Apple Airpods 3er Generación Blanco;879;130;Apple, 6 horas en uso continuo;10;Max ilimitado E;189,9;270GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA);10;ZTE Blade A71 64GB Gris + AIRPODS I11 TWS BL_ ZTE;ZTE Blade A71 64GB Gris + AIRPODS I11 TWS BL_ ZTE +  Apple Airpods 3er Generación Blanco;591;40;CELULAR: Resolución 1600x720 HD+ 6.52'', cámara frontal 8MP principal 16MP, procesador octa-core, memoria RAM 3GB. ACCESORIO: BlackSheep, Audífono BT Drums;12;/resources/images/10.png;10;25% Cyber wow;0,25;Oferta de temporada -25%;ZTE Blade A71 64GB Gris + AIRPODS I11 TWS BL_ ZTE +  Apple Airpods 3er Generación Blanco + Max ilimitado E +  25% Cyber wow;585,7;40;CELULAR: Resolución 1600x720 HD+ 6.52'', cámara frontal 8MP principal 16MP, procesador octa-core, memoria RAM 3GB. ACCESORIO: BlackSheep, Audífono BT Drums PLAN: 270GB, TODO ILIMITADO (Gigas, minutos y SMS), Cobertura internacional (16 países de de Latinoamérica + USA) OFERTA:  Oferta de temporada -25%
